,domain,convergence percent error vals
0,5,0.08987575845131464
1,10,0.08245304825195027
2,15,0.07816527015313499
3,20,0.07652123663681021
4,25,0.07518058364634493
5,30,0.0738485986709044
6,35,0.07263507656746601
7,40,0.07212366368101701
8,45,0.07088702687084662
9,50,0.07015024559375901
10,55,0.0693614562265241
11,60,0.06917653857266688
12,65,0.06827506501011274
13,70,0.0677463160936145
14,75,0.06741115284599825
15,80,0.06687662525281711
16,85,0.06646633920832129
17,90,0.06620629875758448
18,95,0.06581623808147934
19,100,0.06539728402195902
