,domain,convergence percent error vals
0,5,0.09962727535394393
1,10,0.09303091592025427
2,15,0.08948569777520948
3,20,0.08678416642588851
4,25,0.08493787922565726
5,30,0.08391505345275926
6,35,0.08280554752961576
7,40,0.08201386882403927
8,45,0.08145911586246744
9,50,0.08097081768275059
10,55,0.08033805258595787
11,60,0.07954926321872297
12,65,0.07943368968506215
13,70,0.07928055475296153
14,75,0.0789164981219301
15,80,0.07873735914475591
16,85,0.07855533082924014
17,90,0.07844264663392077
18,95,0.0778647789656168
19,100,0.07707310026004045
