,domain,convergence percent error vals
0,5,0.10160936145622655
1,10,0.095180583646345
2,15,0.09129442357700081
3,20,0.08856688818260625
4,25,0.08675527304247334
5,30,0.08539150534527593
6,35,0.08446691707598963
7,40,0.08338630453626117
8,45,0.08237792545507082
9,50,0.0816151401329095
10,55,0.08065587980352502
11,60,0.07952903785033227
12,65,0.07932100548974291
13,70,0.07898006356544349
14,75,0.07844842531060393
15,80,0.07837041317538278
16,85,0.07808725801791395
17,90,0.07765963594336903
18,95,0.0770239815082346
19,100,0.07667726090725227
