,domain,convergence percent error vals
0,5,0.10238659347009539
1,10,0.09579023403640573
2,15,0.09251661369546368
3,20,0.08920832129442358
4,25,0.08675527304247334
5,30,0.0853655013002022
6,35,0.0833747471828951
7,40,0.08180872580179135
8,45,0.08104594047963017
9,50,0.08048540884137531
10,55,0.08030915920254257
11,60,0.07963016469228544
12,65,0.07877203120485413
13,70,0.07809881537128002
14,75,0.07750072233458538
15,80,0.07742271019936435
16,85,0.07698353077145335
17,90,0.07674660502744868
18,95,0.07646633920832133
19,100,0.0758566888182606
