,domain,convergence percent error vals
0,5,0.26796108949416336
1,10,0.24856809338521407
2,15,0.24139299610894946
3,20,0.2381867704280155
4,25,0.23464591439688715
5,30,0.23128404669260705
6,35,0.22761867704280156
7,40,0.22523735408560316
8,45,0.22456031128404666
9,50,0.22313618677042804
10,55,0.22174319066147863
11,60,0.22133852140077825
12,65,0.22014007782101175
13,70,0.2189883268482491
14,75,0.21774319066147857
15,80,0.21591439688715958
16,85,0.21568871595330746
17,90,0.2144435797665369
18,95,0.21334630350194558
19,100,0.2129027237354085
