,domain,convergence percent error vals
0,5,0.24210894941634234
1,10,0.2223268482490273
2,15,0.21526848249027228
3,20,0.20776653696498057
4,25,0.20367315175097278
5,30,0.20154085603112842
6,35,0.1990272373540856
7,40,0.19562645914396895
8,45,0.19362645914396884
9,50,0.19223346303501945
10,55,0.19136186770428024
11,60,0.1887237354085603
12,65,0.1874163424124513
13,70,0.18648249027237362
14,75,0.1855719844357977
15,80,0.1851439688715954
16,85,0.18460700389105061
17,90,0.183182879377432
18,95,0.18262256809338526
19,100,0.18102723735408552
