,domain,convergence percent error vals
0,5,0.2710583657587548
1,10,0.2566614785992217
2,15,0.24700389105058373
3,20,0.24248249027237348
4,25,0.23575875486381326
5,30,0.23250583657587548
6,35,0.22810894941634233
7,40,0.2259143968871595
8,45,0.22270038910505843
9,50,0.22059143968871597
10,55,0.22011673151750966
11,60,0.2187392996108949
12,65,0.2168015564202334
13,70,0.21639688715953304
14,75,0.21441245136186768
15,80,0.21300389105058368
16,85,0.2111673151750972
17,90,0.21024902723735414
18,95,0.20970428015564205
19,100,0.20880155642023343
