,domain,convergence percent error vals
0,5,0.27233463035019456
1,10,0.25684046692607
2,15,0.24417898832684823
3,20,0.23767315175097284
4,25,0.23421789883268485
5,30,0.22851361867704287
6,35,0.22687159533073928
7,40,0.22427237354085608
8,45,0.22308171206225688
9,50,0.22153307392996113
10,55,0.21961089494163427
11,60,0.21870038910505835
12,65,0.21779766536964973
13,70,0.21588326848249034
14,75,0.21505836575875478
15,80,0.21407782101167308
16,85,0.21284046692607003
17,90,0.21123735408560315
18,95,0.21066926070038913
19,100,0.20991439688715954
