,domain,convergence percent error vals
0,5,0.25081712062256806
1,10,0.2294863813229573
2,15,0.21743190661478606
3,20,0.2109416342412451
4,25,0.20784435797665363
5,30,0.2057354085603112
6,35,0.20257587548638128
7,40,0.20046692607003885
8,45,0.19765758754863813
9,50,0.19687937743190662
10,55,0.19508949416342417
11,60,0.19396108949416344
12,65,0.1929571984435798
13,70,0.19221011673151753
14,75,0.1912373540856031
15,80,0.19091828793774313
16,85,0.1893696498054474
17,90,0.18886381322957202
18,95,0.18789105058365763
19,100,0.1876186770428015
