,domain,convergence percent error vals
0,5,0.24954863813229577
1,10,0.2292684824902723
2,15,0.22042801556420233
3,20,0.21435797665369655
4,25,0.20992996108949416
5,30,0.20526848249027235
6,35,0.20320622568093377
7,40,0.1999844357976654
8,45,0.1971595330739299
9,50,0.19568871595330742
10,55,0.1939377431906615
11,60,0.1918832684824902
12,65,0.19021011673151755
13,70,0.1885992217898832
14,75,0.18831906614785993
15,80,0.1876653696498055
16,85,0.18736186770428015
17,90,0.18726070038910514
18,95,0.1867626459143969
19,100,0.18619455252918288
