,domain,convergence percent error vals
0,5,1.056788547420359
1,10,0.8775325604650216
2,15,0.7774058350798386
3,20,0.7103786391111785
4,25,0.637437951723345
5,30,0.5975356679809429
6,35,0.5607275806555009
7,40,0.5240712134572326
8,45,0.5011339952362968
9,50,0.4689553305138518
10,55,0.4486170830370988
11,60,0.4349055719605321
12,65,0.4208284787328774
13,70,0.410649426578429
14,75,0.39749883882845893
15,80,0.3878538597874473
16,85,0.3838977499660669
17,90,0.3738309562126628
18,95,0.3701422681961663
19,100,0.36220139432732135
