,domain,convergence percent error vals
0,5,0.09908407974573818
1,10,0.0916642588847154
2,15,0.08896561687373587
3,20,0.08635654435134357
4,25,0.08545218145044785
5,30,0.08417509390349608
6,35,0.08297890783010692
7,40,0.08240104016180297
8,45,0.08164403351632481
9,50,0.08067321583357412
10,55,0.08006356544351341
11,60,0.07979196763941053
12,65,0.0792921121063276
13,70,0.07901473562554169
14,75,0.07874891649812198
15,80,0.0785755561976307
16,85,0.07838774920543201
17,90,0.07787344698064143
18,95,0.07770875469517476
19,100,0.07694308003467211
