,domain,convergence percent error vals
0,5,0.09644900317827217
1,10,0.08979196763941057
2,15,0.08703264952325912
3,20,0.08462005200809011
4,25,0.08305691996532795
5,30,0.08208032360589423
6,35,0.08028604449581042
7,40,0.07959260329384565
8,45,0.0784050852354811
9,50,0.07746027159780415
10,55,0.07689107194452467
11,60,0.07609361456226528
12,65,0.07524125975151687
13,70,0.07472984686506787
14,75,0.07417509390349604
15,80,0.07389482808436867
16,85,0.0735712221901185
17,90,0.0732736203409419
18,95,0.07277376480785896
19,100,0.07248772031204857
