,domain,convergence percent error vals
0,5,0.09248194163536548
1,10,0.08601560242704416
2,15,0.08224212655301932
3,20,0.0797688529326784
4,25,0.07869690840797454
5,30,0.07739670615429063
6,35,0.07659924877203124
7,40,0.07509968217278246
8,45,0.07432245015891362
9,50,0.073363189829529
10,55,0.07261196186073388
11,60,0.07213811037272466
12,65,0.07162091880959263
13,70,0.0713002022536839
14,75,0.07056631031493789
15,80,0.07001155735336606
16,85,0.06960416064721181
17,90,0.06948569777520941
18,95,0.06903207165559089
19,100,0.06855244149089865
