,domain,convergence percent error vals
0,5,0.08856688818260625
1,10,0.07740537416931526
2,15,0.07226524125975155
3,20,0.06874313782143891
4,25,0.06590580757006644
5,30,0.06446402773764812
6,35,0.06355388616006935
7,40,0.06287200231147065
8,45,0.06201386882403933
9,50,0.061363767697197376
10,55,0.061092169893094496
11,60,0.060254261774053734
12,65,0.05930078012135215
13,70,0.05873735914475584
14,75,0.057945680439179484
15,80,0.05746316093614565
16,85,0.05672060098237502
17,90,0.05665414620052006
18,95,0.05620340941924299
19,100,0.05571800057786771
