,domain,convergence percent error vals
0,5,0.2617198443579766
1,10,0.24324513618677038
2,15,0.23204669260700395
3,20,0.22543190661478604
4,25,0.22022568093385214
5,30,0.21659143968871591
6,35,0.21386770428015558
7,40,0.21189883268482487
8,45,0.20990661478599223
9,50,0.20836575875486382
10,55,0.20539299610894945
11,60,0.20438132295719852
12,65,0.20240466926070033
13,70,0.20199221789883265
14,75,0.2005291828793775
15,80,0.19974319066147866
16,85,0.19958754863813233
17,90,0.19852918287937735
18,95,0.19782879377431908
19,100,0.19747081712062256
