,domain,convergence percent error vals
0,5,0.24499610894941629
1,10,0.23085603112840475
2,15,0.22059922178988328
3,20,0.21445136186770422
4,25,0.2123735408560312
5,30,0.20929961089494167
6,35,0.2077042801556421
7,40,0.20561089494163426
8,45,0.20440466926070044
9,50,0.20252140077821013
10,55,0.20094941634241248
11,60,0.19996108949416347
12,65,0.1992451361867704
13,70,0.1983735408560312
14,75,0.19745525291828794
15,80,0.19482490272373534
16,85,0.19437354085603112
17,90,0.1939377431906615
18,95,0.19293385214007788
19,100,0.19198443579766541
