,domain,convergence percent error vals
0,5,0.24138521400778215
1,10,0.20762645914396885
2,15,0.19210894941634232
3,20,0.18116731517509724
4,25,0.17445914396887163
5,30,0.1709105058365758
6,35,0.16772762645914394
7,40,0.16611673151750975
8,45,0.16418677042801558
9,50,0.160964980544747
10,55,0.15882490272373534
11,60,0.15659922178988328
12,65,0.15523735408560313
13,70,0.15386770428015567
14,75,0.1533385214007782
15,80,0.15139299610894938
16,85,0.15028793774319057
17,90,0.14952529182879384
18,95,0.14906614785992214
19,100,0.14808560311284044
