,domain,convergence percent error vals
0,5,0.26621011673151745
1,10,0.2540466926070039
2,15,0.24506614785992226
3,20,0.23884824902723742
4,25,0.2342801556420233
5,30,0.23163424124513626
6,35,0.229828793774319
7,40,0.227431906614786
8,45,0.22441245136186763
9,50,0.22238910505836573
10,55,0.22145525291828788
11,60,0.21915175097276257
12,65,0.21754085603112838
13,70,0.21603891050583648
14,75,0.21501167315175093
15,80,0.214101167315175
16,85,0.21349416342412444
17,90,0.21126070038910508
18,95,0.2110661478599222
19,100,0.20973540856031128
